repository,language,total_commits,add_or_remove,feature_flag_commits,failed_ci_commits,not_failed_ci_commits,no_ci_commits,add_or_remove,feature_flag_commits,failed_ci_commits,not_failed_ci_commits,no_ci_commits
kubernetes/kops,Go,18248,add,16,0,9,7,remove,10,2,8,0
Automattic/wp-calypso,JavaScript,54869,add,330,55,148,127,remove,178,19,78,81
facebook/react,JavaScript,15345,add,93,2,64,27,remove,23,0,13,10
SIGLUS/siglus-android,Java,5248,add,44,0,0,44,remove,52,0,0,52
cfpb/consumerfinance.gov,Python,21663,add,42,3,4,35,remove,22,3,8,11
moneyadviceservice/frontend,Ruby,9448,add,19,0,0,19,remove,22,0,0,22
keybase/client,Go,36389,add,40,11,7,22,remove,20,6,3,11
getsentry/sentry,Python,47814,add,221,82,110,29,remove,120,32,66,22
cloudfoundry/cloud_controller_ng,Ruby,14732,add,33,3,1,29,remove,5,0,0,5
Aperta-project/Aperta,Ruby,28583,add,18,0,0,18,remove,5,0,0,5
VisualComposer/builder,PHP,16026,add,12,0,0,12,remove,24,0,0,24
department-of-veterans-affairs/vets-website,JavaScript,21610,add,292,78,192,22,remove,81,28,51,2
hmcts/probate-frontend,JavaScript,7246,add,37,12,8,17,remove,18,6,3,9
ministryofjustice/prison-visits-2,Ruby,6024,add,4,0,0,4,remove,10,0,0,10
gocd/gocd,Java,15274,add,14,0,1,13,remove,23,1,4,18
newrelic/node-newrelic,JavaScript,7936,add,19,0,5,14,remove,18,0,2,16
PIH/openmrs-distro-pihemr,Shell,3987,add,17,0,0,17,remove,21,0,0,21
influxdata/influxdb,Go,35211,add,41,16,23,2,remove,24,10,10,4
Opentrons/opentrons,TypeScript,9621,add,39,17,15,7,remove,18,8,10,0
matrix-org/matrix-react-sdk,TypeScript,43575,add,22,4,6,12,remove,11,5,3,3
DFE-Digital/schools-experience,Ruby,6573,add,9,0,2,7,remove,13,0,4,9
travis-ci/travis-api,Ruby,5102,add,3,0,0,3,remove,6,0,0,6
hmrc/mobile-help-to-save,Scala,549,add,9,0,0,9,remove,4,0,0,4
spinnaker/deck,TypeScript,14913,add,20,0,13,7,remove,10,0,4,6
woocommerce/woocommerce-ios,Swift,31813,add,143,16,55,72,remove,112,14,55,43
tokio-rs/tracing,Rust,1286,add,46,2,19,25,remove,5,0,1,4
Yoast/javascript,JavaScript,14806,add,5,0,0,5,remove,3,0,0,3
navikt/modiapersonoversikt,TypeScript,7623,add,0,0,0,0,remove,0,0,0,0
tokio-rs/tokio,Rust,3133,add,14,1,6,7,remove,5,0,2,3
DFE-Digital/get-help-to-retrain,Ruby,2225,add,14,0,0,14,remove,6,0,0,6
18F/identity-idp,Ruby,8191,add,41,11,24,6,remove,20,1,17,2
zooniverse/panoptes,Ruby,4920,add,18,0,4,14,remove,5,0,0,5
ceph/ceph,C++,134702,add,9,0,1,8,remove,3,0,0,3
dimagi/commcare-hq,Python,164719,add,144,23,33,88,remove,68,14,21,33
juju/juju,Go,77061,add,50,3,4,43,remove,35,5,7,23
hypothesis/h,Python,16583,add,58,1,7,50,remove,51,1,8,42
wordpress-mobile/WordPress-iOS,Swift,68059,add,151,16,32,103,remove,129,19,46,64
emberjs/ember.js,JavaScript,21726,add,34,1,11,22,remove,82,4,15,63
CartoDB/cartodb,JavaScript,77969,add,28,3,0,25,remove,26,1,3,22
openedx/edx-platform,Python,62164,add,98,4,46,48,remove,21,0,4,17
alphagov/govuk-puppet,Puppet,31894,add,27,0,3,24,remove,30,0,1,29
vespa-engine/vespa,Java,67617,add,158,21,100,37,remove,90,11,68,11
department-of-veterans-affairs/caseflow,Ruby,9865,add,128,34,61,33,remove,48,11,22,15
signalapp/Signal-iOS,Swift,29575,add,27,0,0,27,remove,25,0,0,25
desktop/desktop,TypeScript,33282,add,33,0,5,28,remove,24,2,4,18
franbow/shopware,PHP,8630,add,13,0,0,13,remove,17,0,0,17
kubernetes/kubernetes,Go,111656,add,12,2,7,3,remove,7,0,5,2
PIH/mirebalais-puppet,HTML,2927,add,42,0,0,42,remove,27,0,1,26
ZeitOnline/vivi,Python,22867,add,11,0,1,10,remove,15,0,1,14
education/classroom,Ruby,6886,add,13,3,4,6,remove,12,6,2,4
uktrade/great-domestic-ui,Python,4215,add,15,0,0,15,remove,7,1,2,4
rubygems/bundler,Ruby,11835,add,20,0,0,20,remove,10,0,0,10
loomnetwork/loomchain,Go,3305,add,34,5,18,11,remove,1,0,0,1
4teamwork/opengever.core,Python,25721,add,30,0,6,24,remove,6,0,2,4
Crown-Commercial-Service/digitalmarketplace-supplier-frontend,Python,4943,add,12,0,0,12,remove,9,0,0,9
emberjs/data,JavaScript,7821,add,12,2,2,8,remove,12,1,1,10
wordpress-mobile/WordPress-Android,Kotlin,70463,add,71,4,19,48,remove,48,6,14,28
uktrade/data-hub-frontend,JavaScript,12498,add,45,6,1,38,remove,25,2,3,20
all-of-us/workbench,Java,6514,add,69,15,39,15,remove,18,8,10,0
carbon-design-system/carbon,JavaScript,9271,add,43,5,21,17,remove,9,1,1,7
zalando/nakadi,Java,5892,add,7,0,1,6,remove,14,0,2,12
Yoast/wordpress-seo,JavaScript,58758,add,90,14,18,58,remove,40,13,10,17
dotnet/roslyn,C#,92659,add,28,4,6,18,remove,14,2,4,8
transcom/mymove,Go,42061,add,25,3,9,13,remove,11,3,3,5
xapi-project/xen-api,OCaml,28250,add,34,1,3,30,remove,5,0,0,5
letsencrypt/boulder,Go,5940,add,40,2,15,23,remove,17,0,6,11
