repository,commit_sha,ci_time,is_feature_flag,ff_add_or_remove
letsencrypt/boulder,3bf6aa4aac893f6dc16efb18ffa32c494dd932b9,15.0,False,N/A
letsencrypt/boulder,7672d9bc99c37a2f1fbca7761005c736791bfc38,14.0,False,N/A
letsencrypt/boulder,96f9bfaab8ff4c23726b25bb15130b80f7e5820c,22.0,False,N/A
letsencrypt/boulder,cbef9ac43b15ca409af5013af196e87fdce4978b,14.0,False,N/A
letsencrypt/boulder,17e9e7fbb7c01e6fac3cb6d366f958b11c834c17,17.0,False,N/A
letsencrypt/boulder,d3f2efcb7fd95e92a16275d510e5bb2cbe58beeb,16.0,False,N/A
letsencrypt/boulder,d90a2817c4abaf8d070ccfbad137fe6cc5dc1bea,17.0,False,N/A
letsencrypt/boulder,ec7b5f2b80d406189119960b127aef00c14c16e2,17.0,False,N/A
letsencrypt/boulder,c1c307a713d3d0c1a90ab7b66f2ac572a17ff419,21.0,False,N/A
letsencrypt/boulder,8e8f8bdf6a02c387384654dee043b08441fbcb54,21.0,False,N/A
letsencrypt/boulder,2d14cfb8d1bc56e70e61f8d50d8f5a150e9b6c1d,20.0,False,N/A
letsencrypt/boulder,366632281787625cc8d8ca03a277b67c6cfc4ed5,15.0,False,N/A
letsencrypt/boulder,cfe943fea58e198e2e02df22e316b7b6e51265ee,21.0,False,N/A
letsencrypt/boulder,1837aa9ef2a5ea50a54331a5c4ed875a596a3284,16.0,False,N/A
letsencrypt/boulder,2b7389b783c04caa2bfb3030010e9591a726aa16,20.0,False,N/A
letsencrypt/boulder,42ac592353617c72997300beec5d3f34c7f403d5,17.0,False,N/A
letsencrypt/boulder,7ca12212c427eb9358632a117b12cf29797defdc,25.0,False,N/A
letsencrypt/boulder,feebb4017e7a48cfc7fe299d7f1bc23a164ed93e,18.0,False,N/A
letsencrypt/boulder,20bfc65c32f1a5082c30b0d99267a1532df7cd35,21.0,False,N/A
letsencrypt/boulder,9712d21aeb732113cd725c626e6dd8212f328729,20.0,False,N/A
letsencrypt/boulder,ed67efaa78a6d8ba4f20af7b2016b52afd220b80,18.0,False,N/A
letsencrypt/boulder,d47e65e1a8550c9ed4de23de6e36c728dba5178b,18.0,False,N/A
letsencrypt/boulder,5eaa1af35ac67777f6b61af348181ddeba0f1104,20.0,False,N/A
letsencrypt/boulder,d5c22eae83a635a0e409babecd585a73fa351c9f,21.0,False,N/A
letsencrypt/boulder,88c7b106251e26101ffd5d13a82efd9272683a22,18.0,False,N/A
letsencrypt/boulder,0f7a5121ed6ce3648f48c84231a0166a6ebad426,21.0,False,N/A
letsencrypt/boulder,8139c8fe28d873c2f772827be30426d075103002,21.0,False,N/A
letsencrypt/boulder,9d0dab84c6d3092fe7c75f9b1c0b9c19c967c5ba,18.0,False,N/A
letsencrypt/boulder,f19f770d3b04b55a23423c3bb93a1c5feba5f5c5,15.0,False,N/A
letsencrypt/boulder,ae7e1541f8b9497385a38db72a5fc1404c70ddf4,21.0,False,N/A
letsencrypt/boulder,c6c6a6bbcce5c170bdd40f023d3c9db7ceed54f5,21.0,False,N/A
letsencrypt/boulder,4c7be7041b6b7b9f6d30f223d87aa943356eb926,16.0,False,N/A
letsencrypt/boulder,9c6a67db38d0fcebac3f6d3befbc4cf88f0f8a31,18.0,False,N/A
letsencrypt/boulder,63eafa4a3b3c736b2ef4844d71a125036b1c2faa,18.0,False,N/A
letsencrypt/boulder,176253addd0c04842cd438719cae23940f3a5ce2,18.0,False,N/A
letsencrypt/boulder,cd3a06b76c4edd0b5e84b361cc85a194e57bffab,17.0,False,N/A
letsencrypt/boulder,00522861dc06f439651724ff7de355f5c453a0ee,17.0,False,N/A
letsencrypt/boulder,67cae0c8fa67787978582fd3b9b78ea00a13ddcc,14.0,False,N/A
letsencrypt/boulder,0f015b0034e331ce639dd6342b1dc8843950cb5f,16.0,False,N/A
letsencrypt/boulder,44db28811b1661ff6bf80ffa71f7128eca715d34,15.0,False,N/A
letsencrypt/boulder,befe860be8061396931e31f2e20e5e8752e598dd,17.0,False,N/A
letsencrypt/boulder,4c96164e5316b46071d363c8e8d62a86f00e32b5,14.0,False,N/A
letsencrypt/boulder,387e94407c58fe0ff65207a89304776ee7417410,14.0,False,N/A
letsencrypt/boulder,ff363755d89e41ba5b07d6edf8544be219bd00c7,28.0,False,N/A
letsencrypt/boulder,294d1c31d70cb869db51cf2c41f0a0ad1d1d69aa,18.0,False,N/A
letsencrypt/boulder,16c7a21a5773800e15abee14727e42986c27d5f8,15.0,False,N/A
letsencrypt/boulder,8cf597459de813d498f7f6ce6c352909695696ad,19.0,False,N/A
letsencrypt/boulder,409fe7acc3a27882c3f869a9a0f78ed4c9db0701,19.0,False,N/A
letsencrypt/boulder,ebba443cad233111ee2b769ef09b32a13c3ba57e,18.0,False,N/A
letsencrypt/boulder,aa09c1661cd1d313d0a0d41b93c38407f4314713,16.0,False,N/A
letsencrypt/boulder,ad89e0b65881048d9f82ee38d324af27ad705d47,19.0,False,N/A
letsencrypt/boulder,2f86884e65bfddd936e3f38a9cbc0e82f14978fe,17.0,False,N/A
letsencrypt/boulder,cc66969bec2767db8ed9ef3278cd8f26475ed934,16.0,False,N/A
letsencrypt/boulder,bcca7c2d05e2ced89f726adccd37ab388b6c9c9d,17.0,False,N/A
letsencrypt/boulder,07aef67fa6542158afd3d0b2fdccce4c76340714,20.0,False,N/A
letsencrypt/boulder,e8ca1987cd303affda2fb1689834fb4941e50f32,23.0,False,N/A
letsencrypt/boulder,fff9794477ddf749303e3720844572c1a1c80386,19.0,False,N/A
letsencrypt/boulder,ff01fe4625a3537c1b44eba9ab6f05f8ff0d77c6,30.0,False,N/A
letsencrypt/boulder,65443f865740503c42d6c2e4b64d18dc9fe666a8,22.0,False,N/A
letsencrypt/boulder,cb6effad9faad9154c13fc6f2cd42b07304705f7,19.0,False,N/A
letsencrypt/boulder,802d4fed9d5341f17ef695862d8d76f159e9721e,24.0,False,N/A
letsencrypt/boulder,9ba2d3c00b3228bbc08340250427028301ee6d02,23.0,False,N/A
letsencrypt/boulder,5ca0c343af59e29c17f79d2b430c5b8737240ffa,21.0,False,N/A
letsencrypt/boulder,beee17c510c20fc3a454a554c71a7e86b77d4ffd,17.0,False,N/A
letsencrypt/boulder,ffbc54f343960ff0454b159e085cb752e175d717,19.0,False,N/A
letsencrypt/boulder,a214fb7757c56fb92262b6a265f49d5fcef34e05,18.0,False,N/A
letsencrypt/boulder,aab9f3871828bfedcf67b4a87674ca0d05e2f1e3,19.0,False,N/A
letsencrypt/boulder,55e4262aac77cf56b78af06b133c426df6545784,23.0,False,N/A
letsencrypt/boulder,f5982c6d440ce3581a84b90f6798f46bb5843f87,19.0,False,N/A
letsencrypt/boulder,8b9145838d257003771cbb8acb84ebb0c7ab6a23,20.0,False,N/A
letsencrypt/boulder,9464d025d1e336ccb5f366e4499ebe9e9596e8d1,18.0,False,N/A
letsencrypt/boulder,6c1f42fce75f4486dc46ccd1949ec491cfd9bc83,55.0,False,N/A
letsencrypt/boulder,a0d12af73cc950bc9c1e3a22ec9f8fc21fac70d1,19.0,False,N/A
letsencrypt/boulder,b1abf0f5c4a2fa470dc7e162220d4bfe937586ad,21.0,False,N/A
letsencrypt/boulder,400bf3a02ae4b83d5cc0dbc83a25192119b7da95,23.0,False,N/A
letsencrypt/boulder,e8a6eabbd5d7ecd720fa88150346526df850cd92,17.0,False,N/A
letsencrypt/boulder,d9132102d144758d1ee992b4343ab187452d0083,17.0,False,N/A
letsencrypt/boulder,f8e82a98893208f7b5af4b9399683a45a4fb8f1d,18.0,False,N/A
letsencrypt/boulder,dbf7144ef6501bc8bccda928c71cd5b5708637b0,68.0,False,N/A
letsencrypt/boulder,e0510056cc06a0f898f00309f98a79ddb749d492,22.0,False,N/A
letsencrypt/boulder,88ea4432be9121ecbcc6cf08e9bdd79930ba260b,23.0,False,N/A
letsencrypt/boulder,379826d4b5b7db4c515845acedc22f478fa9c74d,17.0,False,N/A
letsencrypt/boulder,aa20bcaded8f1cd9c637b9a6f42563854d7c1bfd,55.0,False,N/A
letsencrypt/boulder,2a6cb72518d0e65455be1db91fa2cf77fac9fdbe,17.0,False,N/A
