repository,commit_sha,ci_time,is_feature_flag,ff_add_or_remove
ceph/ceph,48bc92b320fa6d0a40671925590193494e2e0aa0,778.0,False,N/A
ceph/ceph,75de28e9b2f272cbd8dee9f51689cabbc89d2824,49.0,False,N/A
ceph/ceph,0eccf0787fd97d1b55d342a154e64bb995b3a7db,264.0,False,N/A
ceph/ceph,9775b0721b25a7c06ebc13ba3c6d1b1f9fbec51f,749.0,False,N/A
ceph/ceph,365dd2b8217eca94f417bf2332dfead829016441,666.0,False,N/A
ceph/ceph,fc253d91b240b4495414c583d5bcb4f040389ba0,857.0,False,N/A
ceph/ceph,04ad5f4ca503c822681e3c0d1d6027f9e249edd9,594.0,False,N/A
ceph/ceph,956507270465de7d2847f085da22054c42fa3fad,52.0,False,N/A
ceph/ceph,4dfb0fd1841a44b8b8145f3f589f0ea0adf8bb7b,298.0,False,N/A
ceph/ceph,d5045f7142cb6edf496502ba85b25da78e249bf9,740.0,False,N/A
ceph/ceph,00fb911f78e31b36b6ae0dcd01052fa9ea9c4703,264.0,False,N/A
ceph/ceph,67b2aceae0b140c372dbdddf24efab69c82aeb19,669.0,False,N/A
ceph/ceph,f5e3eb2ffe9235236b9ec2e3ea3106811a6249e8,839.0,False,N/A
ceph/ceph,53c7308e3313f23ff1a5765008b5ac90f23a5a6d,457.0,False,N/A
ceph/ceph,bf61336f7e5e87637066d7bfab60a140109a9e83,154.0,False,N/A
ceph/ceph,0cb495635e33f3cb3ff60f0fa14607428ad759d2,270.0,False,N/A
ceph/ceph,5fe86ebefa18bd8275291f218f1c6e772c5427ed,143.0,False,N/A
ceph/ceph,a2b4c77e9757c5721fe2d80e9bff9124c93643d7,735.0,False,N/A
ceph/ceph,a2cb2f0dbe98e72489215aab78496524be49ec60,267.0,False,N/A
ceph/ceph,1cdcfccae7ef0a706eb3bea7742f36a6810d1245,193.0,False,N/A
ceph/ceph,5d2ae39465833c09cf65c745c5a28f8bcd28ddde,270.0,False,N/A
ceph/ceph,50c38015c2ef4f3414e25b8f946d20488af04ac2,722.0,False,N/A
ceph/ceph,fc1ce7b10bb5027eb7dc825a114dbad71801781c,896.0,False,N/A
ceph/ceph,1ef0ff37c421e65738ec095b490f852c28faec4a,133.0,False,N/A
ceph/ceph,f63502ed64e18f23225dc4c763cd141e629ba1f9,793.0,False,N/A
ceph/ceph,5d1aededc8dec84517e09ab3063225663f45ce31,61.0,False,N/A
ceph/ceph,2b62b893b2a5e7b434dc70acc106b4ba18b554cf,788.0,False,N/A
ceph/ceph,8b7e52bf15d0969c62032e1ed525bd58ce08258f,691.0,False,N/A
ceph/ceph,0d670d46223477cd381fce3c3171f6fb3e068b85,148.0,False,N/A
ceph/ceph,fafe3d4d121bf7cc6d593fdeefe702e5c8db6f7a,88.0,False,N/A
ceph/ceph,998e6059e86f76674c4bd79b6d9bd75e599b5b39,437.0,False,N/A
ceph/ceph,d58f27419e881d5474e8d7b9119ab2247bf46108,318.0,False,N/A
ceph/ceph,3da31b859af5417b307a8d9d878f361d69039b95,262.0,False,N/A
ceph/ceph,e464ce9c6e03afddc5b142720f36215996818c76,727.0,False,N/A
ceph/ceph,9f185d92b5cf018dfdf164e828818cd8c1ef2123,159.0,False,N/A
ceph/ceph,e7be98c4d207aa4eac55c136cbe9abfb334d327d,22.0,False,N/A
ceph/ceph,28abc6a9a5910c7cf0ed8d9487c70b1827edeb15,49.0,False,N/A
ceph/ceph,e7d0d59a8b420fdbb882ab8c1e6d62aebebd8827,282.0,False,N/A
ceph/ceph,77da4e66b0399a1cfd1c661bd3a11d76ec5f7847,282.0,False,N/A
ceph/ceph,5f0aa08c4f2152d8f3029493bfdda62592cf7755,241.0,False,N/A
ceph/ceph,02360acb25dfb633cee5c5dd90fd445edf5bcb31,55.0,False,N/A
ceph/ceph,1d2c3bb8f6bf18aefa6f39a36ca51d0af23fc987,58.0,False,N/A
ceph/ceph,6ec9c87dac4e3879460c4b3ed0e127ce4641ffd3,682.0,False,N/A
ceph/ceph,6064fa29c1aab285dc1537eab2d7f83ff31ca11b,450.0,False,N/A
ceph/ceph,d0db2e0c6ba3aaa8bd117ea6557ef4d7ce4f2203,311.0,False,N/A
ceph/ceph,58dd9bbb6826cdaddf6dc0b57f4cd1b4af961007,54.0,False,N/A
ceph/ceph,8fa1895c3afd1ff31eb5caa8dc090fd622c754ac,681.0,False,N/A
ceph/ceph,67ea64b3796d65a2c7a5f301a01a46eae074eba3,654.0,False,N/A
ceph/ceph,a538cbe929d39813f63fd050d542fdc22cfb31e5,26.0,False,N/A
ceph/ceph,723a6446f328235bbbe36f288af3f9e4e877facb,434.0,False,N/A
ceph/ceph,9bb24e1b4060afdb3caeb9278742c70511aabe75,703.0,False,N/A
ceph/ceph,95154ed49279f703b32f8688fd5bd7c2d958bfa1,51.0,False,N/A
ceph/ceph,f2a49717c8d368e03ebdc55f5fd43f6296120d55,37.0,False,N/A
ceph/ceph,545cccbb892c4d7f11192a8d3eb6a0ec71bdb8b0,610.0,False,N/A
ceph/ceph,f85fb97a437d832e157e4256df985aa7c30c45d5,857.0,False,N/A
ceph/ceph,fac115ec7424097b0b42ea38edd5581ae6382de7,626.0,False,N/A
ceph/ceph,add6cc2a91e0b05d25d7d3550c22639f2bef717e,44.0,False,N/A
ceph/ceph,dce0dfa099bf0d4a5b71ed5c69de4d91b8739687,69.0,False,N/A
ceph/ceph,796bc17ddf8d9a4dbf622f0c6f4ad13c40d39457,914.0,False,N/A
ceph/ceph,9a5dfabe52ec40ada2c5e87bf249bab9f3d858f1,612.0,False,N/A
ceph/ceph,09e4df6a52fa9e5cb3fb141a423b7da80278a75f,865.0,False,N/A
ceph/ceph,091db1d0129fa5ee51776044f88ca48c55ab2924,435.0,False,N/A
ceph/ceph,5573558a17400215fa77991779ff96ea189d2965,71.0,False,N/A
ceph/ceph,2233b68fe0efa3666f90296fd5df249a3f56bbe5,58.0,False,N/A
ceph/ceph,05bba6e26d1a59464ea7ca500f77ef174903e42a,761.0,False,N/A
ceph/ceph,b0df28b61ac800a438bce4ede0d4ca20bb017e68,632.0,False,N/A
ceph/ceph,bd3ecf80ba405c8d773cdfc837ac9bdfb0ee00c6,76.0,False,N/A
ceph/ceph,4a15c776096a2fa12c96443fa9a54ac0aa58e176,274.0,False,N/A
ceph/ceph,c0c0df979ee5970e02f138125636a39fa80e87fb,744.0,False,N/A
ceph/ceph,a1e7e5a68f113c893b8e38f420a8bcaaa6397b71,390.0,False,N/A
ceph/ceph,e8180d98cde08e69210aa200a79a8336f01ec692,703.0,False,N/A
ceph/ceph,bee9bd170db502ecb6412a0129b096274997f6b8,37.0,False,N/A
ceph/ceph,ef6749cad99e2b88c21a54e89319a537e701a96e,172.0,False,N/A
ceph/ceph,d16e4e0737f8852f00b88c4f30b44a13096e6f42,303.0,False,N/A
ceph/ceph,bc360a45038c0fa40a04ef70ca36f3a325f51a1c,51.0,False,N/A
ceph/ceph,b32837f8ad22decf1606014d3391e47814ba3a97,557.0,False,N/A
ceph/ceph,b1b9d72b754e8d532614ad9d078f7ebedf4037d5,38.0,False,N/A
ceph/ceph,7ad86ff0a66a4a7aa4d78a22ed03dd20bb60ada6,53.0,False,N/A
ceph/ceph,aa52af91d78a7cdd3eb6635f20b6fc3b6e2f6cec,749.0,False,N/A
ceph/ceph,d8167aa63d39c73e98d08281b3bdf3417e582587,49.0,False,N/A
ceph/ceph,130c9626598bc3a75942161e6cce7c664c447382,92.0,False,N/A
ceph/ceph,4aecdad350890c0d18773e05a63e75966b7956e0,41.0,False,N/A
ceph/ceph,841a58b7f52a8cb14222092c3da330410400b1ab,60.0,False,N/A
ceph/ceph,aac5bbd1fe965ae9973bc4d8f5279cdd09bf41ab,738.0,False,N/A
ceph/ceph,6d6de42b6f8b38460a38ca24214a04a6e19698e4,89.0,False,N/A
ceph/ceph,df600e787b3a8665bd6443fc8e86f54e1ad8a3de,61.0,False,N/A
ceph/ceph,478cbbb3b171186e71686452a7dd96faf294e95a,772.0,False,N/A
ceph/ceph,870e8e7b3fd8a438925c034dc621e4d2644d39af,41998.0,False,N/A
ceph/ceph,13e50f6f4962c621b487473d11f4616c8cace2ce,676.0,False,N/A
ceph/ceph,5067f575ad6763e106164aef98f1e172042437b6,371.0,False,N/A
ceph/ceph,a639f084e7f63eae253de1070039bbed69636caf,744.0,False,N/A
ceph/ceph,3b874e9930e36d33f98bfbb11ca7ab07b508bfa1,771.0,False,N/A
ceph/ceph,0072b2d69e02c73b8da3deb296bf7d1b13a99118,720.0,False,N/A
ceph/ceph,64f10fc14ba52797ee0c713d0092f2535b6afb3d,48.0,False,N/A
ceph/ceph,9805983bcd4eab85f1745d33bb1d57bc5d1582aa,90.0,False,N/A
ceph/ceph,0bb4bf67c24b4c3a81fae545ab857a193586a05e,758.0,False,N/A
ceph/ceph,d5717fe2648451d48f39f30163c6e4af7eaa7a09,53.0,False,N/A
ceph/ceph,86c2e2cf29d6af30cd8556babf52af74b72aa48e,525.0,False,N/A
ceph/ceph,5c5da781cae6e7af16ef31782c99c8bc1490baf1,260.0,False,N/A
ceph/ceph,1e794901b6e6d2ec6987c8fe8205278ec3bdcb5f,647.0,False,N/A
ceph/ceph,a489eefc2f25f0ab36fc478d7417f3538fa5c9ef,1793.0,False,N/A
ceph/ceph,2f8b6d6cb6bef0275b14005e070de30a21f48983,101.0,False,N/A
ceph/ceph,74794f9d6f5c6671438085bdba730b504901a7c0,663.0,False,N/A
ceph/ceph,e7b9cd3f0969cb6703fdce10ecd137bf45a2f5bb,677.0,False,N/A
ceph/ceph,d85c14bb3085ab70139253b70b6498834d167825,276.0,False,N/A
ceph/ceph,bc11fa71d6e7f089cb7fc74a0dfc050e12cb39de,259.0,False,N/A
ceph/ceph,f6f53dab788c53bb823baa24ad6db826bfac8702,135.0,False,N/A
ceph/ceph,3acbed815abef1796e699ba98fb4d0b1b5dfbdb4,218.0,False,N/A
ceph/ceph,5c066057f2ef3f52b173537ad8754756ac1593da,687.0,False,N/A
ceph/ceph,98b5330b1a170547e7b166da5a489872cfc7e352,287.0,False,N/A
ceph/ceph,f6dc0beb5ea1ceb477f2e8b697c09307418298ed,388.0,False,N/A
ceph/ceph,75a37f4c98b5fa2951315c2e136a81a623647666,160.0,False,N/A
ceph/ceph,2427c05614d68f7366bd8692f071d94e930bd5ae,756.0,False,N/A
ceph/ceph,84312aa6d1e2de8a0c3a9203bd7d39785d82c27c,893.0,False,N/A
ceph/ceph,fe1e6b6c4eb55cd2103309a957a8baecc473021a,63.0,False,N/A
ceph/ceph,233af44cb4d4b0a83a1f32b893febb49540aefc3,677.0,False,N/A
ceph/ceph,43121cf4885b9b5f2bc6c08a87a1a7976aea0341,780.0,False,N/A
ceph/ceph,46e89a9ee0ac9856b2a5b1d8996696114e2e73d6,309.0,False,N/A
ceph/ceph,f8c14ed8f08bc7896e678cd7225bfe281459b853,269.0,False,N/A
ceph/ceph,d1dbfae3b233d2d38e0a0383c6ebae5f3795b4fa,442.0,False,N/A
ceph/ceph,61bf0cb69a277a8119b5723e5329f209abf27d8c,129.0,False,N/A
ceph/ceph,e86bc70f1f95c806e1695cfd90c86a283403149d,71.0,False,N/A
ceph/ceph,533532d2b3cd2994e6f7663ec24c5a1ae0e216ae,384.0,False,N/A
ceph/ceph,0fdaec1bc9d3b3c4861c10e766d929bd8263ab4e,24.0,False,N/A
ceph/ceph,82f46b1fdc233569bff6691e8bed318d52d850d3,616.0,False,N/A
ceph/ceph,447967ea0d9b11314d1797f525ab5a11bdeea59e,47.0,False,N/A
ceph/ceph,a386400c97868638eecdf0f8b20623cd97ec8791,94.0,False,N/A
ceph/ceph,31db0c227d88d0227a935c61ed099d0daf4f02cd,54.0,False,N/A
ceph/ceph,c01724958c1d60cb117d71868361f2577809b533,117.0,False,N/A
ceph/ceph,22cda67c6ed2e5b694c4c5999196322c4928c1c7,218.0,False,N/A
ceph/ceph,c1e6f7c470fe1dc02aaaeef424121bae61931290,304.0,False,N/A
ceph/ceph,0f93f745c63197c4885049d64e4ae1013300e3a9,753.0,False,N/A
ceph/ceph,b5218528d63ae87ca77229bce1635c62411959e8,56.0,False,N/A
ceph/ceph,85454b3262ef887aacb8f54f23646d6f163df2ee,752.0,False,N/A
ceph/ceph,b559b1937a815e1e1baf041e234d22a8453f1267,59.0,False,N/A
ceph/ceph,5c217c1de57ddcdda19bd83993a26d2f257a03b7,280.0,False,N/A
ceph/ceph,dfc9ef6886ae5de6b769979ebad46f5a81bcfaba,58.0,False,N/A
