repository,commit_sha,ci_time,is_feature_flag,ff_add_or_remove
spinnaker/deck,d7290c4d61d880c0b5dfa3abb1573e1b0550603e,1294.0,False,N/A
spinnaker/deck,10bec860ade8de2a4c838746ff3b5b12dd0b4cfd,1260.0,False,N/A
spinnaker/deck,587b5a7a5fe2121cd93bed86e5e83795ee401be0,1988.0,False,N/A
spinnaker/deck,159151368e99da0e990d607039268e20b8b1a8b2,1707.0,False,N/A
spinnaker/deck,563b6f6cbfc72a3122d4cfe669ffc347c9dd7168,1205.0,False,N/A
spinnaker/deck,e6411725682850767e058ddb5d1cab16c246905a,2171.0,False,N/A
spinnaker/deck,5ac75160cf8b6099aaea8b31874ebbbb13409b2a,1439.0,False,N/A
spinnaker/deck,0eb8995d8056be328d66472962798f7f8218df97,1522.0,False,N/A
spinnaker/deck,af0b5854dc2a35d643c06baa25a07bfc425fc154,1394.0,False,N/A
spinnaker/deck,f6e424b12e48f100870e10d90fd76c2ca35c82aa,4812.0,False,N/A
spinnaker/deck,ed1d5f8691f7155c5c346916ad871c9993ea8363,1351.0,False,N/A
spinnaker/deck,12dc0b2f8cb61cc6ee529fa1a017890390e69d54,4145.0,False,N/A
spinnaker/deck,8782045d597ba0fc6a06038d92e96c49996ba1ab,2893.0,False,N/A
spinnaker/deck,aad1f882fcf1f84678b1c2ccb26475a7ae48a994,1459.0,False,N/A
spinnaker/deck,3efb67c7d040c3b549e9d3f589663f4e70c74390,1626.0,False,N/A
spinnaker/deck,ae4b881af8ebf1aa4982ca613d35f480301370e0,1025.0,False,N/A
spinnaker/deck,fe11523caed9c5aa7a85774dcf96b1f860740ead,1144.0,False,N/A
spinnaker/deck,bf92932c9396a88fb902050b52f504e4ac01aaa0,1206.0,False,N/A
spinnaker/deck,1495293799026de88cb9c981fde30efeb001d465,1623.0,False,N/A
spinnaker/deck,dbdee6de89f78b112d4a5464cecdbb822c8e578b,1095.0,False,N/A
spinnaker/deck,55fa5d00beb576d9d9215923bcc4b7ead64a4fba,1329.0,False,N/A
spinnaker/deck,966862b2caf82b5c9879cf418a7c79ec51152dfd,1531.0,False,N/A
spinnaker/deck,53a05ca5aed8d1d9d99e1420a0b1a0408b331c75,1309.0,False,N/A
spinnaker/deck,d54989b80af2ae88d41b110bed090cd99a602608,1698.0,False,N/A
spinnaker/deck,bd937f9d958f5d28bdd2caababea1193aa26a17f,1030.0,False,N/A
spinnaker/deck,c8f2bf787589ec47547513b0a1e8d79878c55d51,1009.0,False,N/A
spinnaker/deck,d5ceedd9f745e6f1156f6b5e25275cc311d4f0ab,1673.0,False,N/A
spinnaker/deck,cfb0ce3a02daada4a3efb0e205c26576b514df57,985.0,False,N/A
spinnaker/deck,248d7b1797dac311c326296691661368916ffa6b,1277.0,False,N/A
spinnaker/deck,a81f4ab9bbcf86d31f31f52390740db62a8e7e5d,1481.0,False,N/A
spinnaker/deck,853410d504c121ad18c8ac85bf2c9557990f8928,1737.0,False,N/A
spinnaker/deck,f8b704c831e4c90b3257740e93c214f74e9ee06f,1000.0,False,N/A
spinnaker/deck,f2a30304967b079fec99430b2fbc712b39db0406,1792.0,False,N/A
spinnaker/deck,3d37fe6b9dfe120308bf0374e7f93146b745f272,1968.0,False,N/A
spinnaker/deck,7d45ac79ee4c68ae1d55584a789acf74616f4d0b,1418.0,False,N/A
spinnaker/deck,608fc692304ede7abb1d6cf8be71f650a9126f01,1012.0,False,N/A
spinnaker/deck,4f52c7491ae94fa9369a74ef65b255a8dd98e363,986.0,False,N/A
spinnaker/deck,4e2ec409f093985f4c084f8140c650f29bb9009b,1669.0,False,N/A
spinnaker/deck,d7dda49a5ebb4e4e9fcd22826563e46e6dceb1e3,987.0,False,N/A
spinnaker/deck,1cdfde643e06209442c3a4b1c637a1b72b53f38b,1026.0,False,N/A
spinnaker/deck,fe5820fef9a6fb22ca54e1b410b4f5e181a2c887,1007.0,False,N/A
spinnaker/deck,f134927db9e7f6444c312e66f5409c70c4fe0bab,1166.0,False,N/A
spinnaker/deck,3ea12b48839ff145c4a602d489507f317b06f856,3681.0,False,N/A
spinnaker/deck,911d5ae49d61d12c42b47329a428bd872178c9c3,1331.0,False,N/A
spinnaker/deck,1c7614c9479f089d966378e4f1ae9c7aa14502bf,1980.0,False,N/A
spinnaker/deck,a27e78d423f41d01c6ae0dec4dca9e0b3c5cb6ff,1145.0,False,N/A
spinnaker/deck,c8fc2e60ffad142cce66e189bb4db8954568a051,1264.0,False,N/A
spinnaker/deck,f5fe6c22a8ed3f8d994dc215b75acf6da08122e5,1328.0,False,N/A
spinnaker/deck,45cf778af2e6cb9ba9136689f52d31ce6f68b7c0,611.0,False,N/A
spinnaker/deck,ceb8f5ab2a83bae0b5deb09858cd595146da379b,846.0,False,N/A
spinnaker/deck,8b967e5f649a2373d704ec1d7d9f790ab1e1802e,1460.0,False,N/A
spinnaker/deck,45ebc457fa4dbbad93cd9567fe31bd7d8cb2743b,1006.0,False,N/A
spinnaker/deck,17f62208a9169263d0c90bbe43a432582059106e,1889.0,False,N/A
spinnaker/deck,c96faa581482d251c07132bdcc023e04fc8e869b,779.0,False,N/A
spinnaker/deck,b6c5aa2848fa6c93ce751d668975f1ebb2bc509a,843.0,False,N/A
spinnaker/deck,17dec9a0ec28ddf2d7114833ce05705c37a9d442,784.0,False,N/A
spinnaker/deck,daad9d485db30c89465b7759d74bdf3e53316eb6,634.0,False,N/A
spinnaker/deck,35841fe2a697f8223a9deaf40938f425b2fdf819,957.0,False,N/A
spinnaker/deck,4910c494b936f7aa442532e4fd0fd0f0fa7130c2,644.0,False,N/A
spinnaker/deck,51e3160c2076684837cf1384b405eab02c8a100d,970.0,False,N/A
spinnaker/deck,4f99b5a658429c51a892c3de84afaf15986fc807,634.0,False,N/A
spinnaker/deck,565b1b0e6b6be0a828617a8083052f42d454a0a1,645.0,False,N/A
spinnaker/deck,d3586c5dc732103e0991c9cb70a2468ba53fe20a,970.0,False,N/A
spinnaker/deck,14de7f3655e68637dc94444dec1bd1d720efd254,746.0,False,N/A
spinnaker/deck,5bde982b7af3abd87546c39de499a7ec6395d191,839.0,False,N/A
spinnaker/deck,8cf8756f1e9c618d0a09ce944d8931ae7951b112,917.0,False,N/A
spinnaker/deck,9f35728cf0ae71f5b28422920e4f802d92193845,2461.0,False,N/A
spinnaker/deck,d5a077a4b3765ba3e45ec53242bfac187cc96712,800.0,False,N/A
spinnaker/deck,a058c86576f2a2c7253544da42ce581da7c4229d,892.0,False,N/A
spinnaker/deck,a88cf5028b58c69eeaeee889405bfe73aadc7593,679.0,False,N/A
spinnaker/deck,02b3696f567dae4904996a539415562bcfb7b8b5,720.0,False,N/A
spinnaker/deck,248069bc3a71c15051ee2e234843df814d74267e,851.0,False,N/A
spinnaker/deck,75d011c7db89cc9f496d72a42249c63bb940eac0,905.0,False,N/A
spinnaker/deck,bb396f3fb43851e37ffa49530bd0ed9ed8fd88a6,812.0,False,N/A
spinnaker/deck,8f3171b4918a445dc508fb4baf676baf639de0ab,1422.0,False,N/A
spinnaker/deck,333677b9c9508ae16e91a02e5b0416c7bf217431,727.0,False,N/A
spinnaker/deck,75694bdd55c9eaf3af8d9b531ee0ac4a471733c5,844.0,False,N/A
spinnaker/deck,fd69b27a052ccb2a170efdbe0b971a8636c96447,1405.0,False,N/A
spinnaker/deck,525dc788f8fb6508a404023d816df4d01e4de0c2,643.0,False,N/A
spinnaker/deck,17b98201c6de43729a39f6d205656d0c4be1db16,2670.0,False,N/A
spinnaker/deck,7e3dd5053ccdb06ce067303062f90ae82b56bfc8,791.0,False,N/A
spinnaker/deck,e68b59c9a771401a235eb55d23e7408c3e6e6537,780.0,False,N/A
spinnaker/deck,57c9c1b0c2167ebabe03f96e9d095c11a22f4ec8,764.0,False,N/A
spinnaker/deck,2134f49719d1fec3509b6d3d154d90136da3c7d7,674.0,False,N/A
spinnaker/deck,0e13bf0230dc557eb3a054a3a07dbe2ca3dfccc8,802.0,False,N/A
spinnaker/deck,afdd7182f32cb2b98dc9bea7c005c755379b0dd2,682.0,False,N/A
spinnaker/deck,255faf59d840c6a8a557d1baeb8b05696f5a1cbf,754.0,False,N/A
spinnaker/deck,d9582c37d3133a85c710c538d7d89ee787ffc50d,820.0,False,N/A
spinnaker/deck,3d3cc8b103bdc90206ffb00a89b52c1325f9fa61,1380.0,False,N/A
spinnaker/deck,59026ea6af7b81ffb8e8c59e18f43396906ddafb,2738.0,False,N/A
spinnaker/deck,3f1863752dc703c57d1cdad2a82324210c40e94d,975.0,False,N/A
spinnaker/deck,7460fe67c3a5caa755f19d0c674efdf0bcd28141,695.0,False,N/A
spinnaker/deck,9128ef6165bf02fe6ec1ba205f7cbfa4415d0895,566.0,False,N/A
spinnaker/deck,4365d845a9f0f3f87d0da40f4d0cc319abb41af1,2370.0,False,N/A
spinnaker/deck,21c63405e9b5d2e16de6e7f34f73d649f1a64400,737.0,False,N/A
spinnaker/deck,db8e50e016a6eda075d76ca43f341f85725fa90a,521.0,False,N/A
spinnaker/deck,187272ef1933753688fb8f7966e250a27104612a,1599.0,False,N/A
spinnaker/deck,9c4e438d4f8fd6c9b72f6648347bb68b93dd8139,930.0,False,N/A
spinnaker/deck,2cc7eb065bbac0585d8a5df5b73b00b3a0cbfa1f,720.0,False,N/A
spinnaker/deck,c4b42b16cee7d8746087e9e1bcc4b00751dd4bc7,360853.0,False,N/A
spinnaker/deck,deee318cc857742bc27aed2e40d51d5bb1fce531,782.0,False,N/A
spinnaker/deck,e108e953473252f1695cfca30f81817aa3e13575,725.0,False,N/A
spinnaker/deck,9a3dbe5fba68b76980919162e4a9681b1a68a38e,947.0,False,N/A
spinnaker/deck,5e629813d496bdc96eeae0ef54744d68547ec9e8,776.0,False,N/A
spinnaker/deck,f7aed140e0cdc83e9b9782fd6aeab46568aff756,668.0,False,N/A
spinnaker/deck,a8ce521981e70fe046aa72ef43fbb10d09903498,892.0,False,N/A
spinnaker/deck,3ca2d551c511bd47709670e140af696d57cde0b0,791.0,False,N/A
spinnaker/deck,c1ac25a5aba6ffbebe822a4e13f291013092833d,909.0,False,N/A
spinnaker/deck,91ab3d52be4dd9b05125c3949129de09a2cbdb9e,821.0,False,N/A
