repository,commit_sha,ci_time,is_feature_flag,ff_add_or_remove
hypothesis/h,2674ee7a8e0a76f5c254c6c0212d762bc5bca102,2789.0,False,N/A
hypothesis/h,86922b40ebc4fa3eb65d07fea39f7a24021c0b92,292.0,False,N/A
hypothesis/h,43523dc8e0becccdfc57b1d05bb797682a5b9118,398.0,False,N/A
hypothesis/h,80b94b38110d9eb7ff1b6ade9d27d23f558adff4,1295.0,False,N/A
hypothesis/h,591b34e15788e269e1869c94cd70bc37543ce172,1819.0,False,N/A
hypothesis/h,478398f6b9774c9ddab40c7086edd158ec019808,352.0,False,N/A
hypothesis/h,0fbb5dcfcc71dda6d29b24707ac0bade4aba0dcd,267.0,False,N/A
hypothesis/h,35f756af95c1664afb6845e3394ac223cfaba0e9,340.0,False,N/A
hypothesis/h,81e5d63af7599fb960ee14628025ac3fcd465f7e,275.0,False,N/A
hypothesis/h,08fc7d88d1049b9219768b6e6c37bd9b59879aa8,280.0,False,N/A
hypothesis/h,f061a9825f2625154c015a1f4434df6c031180c9,366.0,False,N/A
hypothesis/h,59178b0a1c2a5f709c6ffdd730a383299e9fab15,305.0,False,N/A
hypothesis/h,f2dbb3e045325debf59dba46dfa22e9793ab2e8d,334.0,False,N/A
hypothesis/h,290a0499cd860e17684ac9a52698de07a70e7446,338.0,False,N/A
hypothesis/h,15025e3955a9e19f1d875bfb8d35e3a9f881cd08,1996.0,False,N/A
hypothesis/h,90505e1f7d37f2b849925fc471f8480268649899,1387.0,False,N/A
hypothesis/h,f8432e53197e9eff5150f79b070e50c01720e9f4,65211.0,False,N/A
hypothesis/h,b8815f94320859315a25d859f19482e4a0152543,1819.0,False,N/A
hypothesis/h,c043d30373f9d276670dfa3d021e93311cfdc150,2304.0,False,N/A
hypothesis/h,79e8e4fade3a35cc6f6318183dcc0cc4336614b1,351.0,False,N/A
hypothesis/h,90e2196fe87ee18decaea9eb3723aa8848f49d14,1888.0,False,N/A
hypothesis/h,3afd4addf8b8489a05798e98f6c5382b06725ac1,746.0,False,N/A
hypothesis/h,0ca5b897606f76d63a42b1926670b08ae248ac60,336.0,False,N/A
hypothesis/h,6c64931bde7e043d9ed5812e55e8e2099a1edb14,3777.0,False,N/A
hypothesis/h,ff017f7518da05c2c6d441bb9d6d6e62bd1e8919,689.0,False,N/A
hypothesis/h,a5d5147efd9ba774cb90c99f9acd16c65fe7c48f,8937.0,False,N/A
hypothesis/h,924737784ac8643f2dfa34111a4becc9d8e7b6b1,1629.0,True,add
hypothesis/h,135752e24eb20a7bd8c7bad4e898be1ea5bed5cc,283.0,False,N/A
hypothesis/h,1508bd4c4ca5af3ee4919f3bc23f07e81091a2dd,1340.0,False,N/A
hypothesis/h,92bb786aeddc9162303b31705cbfc693e86242ec,1506.0,False,N/A
hypothesis/h,812715a97bce0f9ce3a39405802e8b0bebe1eef2,1328.0,False,N/A
hypothesis/h,aafbbf70e17257e42ccd5244ae10c1ae737c3395,284.0,False,N/A
hypothesis/h,0ac09d44b808685478c5ce421109ab246a8e0ff9,14904.0,False,N/A
hypothesis/h,5a190dcb72d9209b21def52977d8235516071f12,1742.0,False,N/A
hypothesis/h,b4e2d3e26da591997e60f42ee0cbc8dc00414ae1,344.0,False,N/A
hypothesis/h,cafbcac369fc7236c4e29a82e5e8a39a981d2b11,276.0,False,N/A
hypothesis/h,15e73655d47e8688f3311973eaa4245fa970f65a,2028.0,True,add
hypothesis/h,8a52aeaaa5c48a53295560c8f4ffcc8df236c1e8,675.0,False,N/A
hypothesis/h,4580e76cdcd4a9540b8ef71e62f743b3eae38808,704.0,False,N/A
hypothesis/h,071877704dad0722f72e36b5c0689a5a2747414d,1601.0,False,N/A
hypothesis/h,e13b88ee9f97ae35f7f166e6cc56e3ffdf43b497,309.0,False,N/A
hypothesis/h,a477e6d9f5eb026b7387e41247749a4b913db11d,458.0,False,N/A
hypothesis/h,7ba17a4b56584b8debdcf3ab74a46d44581ef2b2,340.0,False,N/A
hypothesis/h,4557ee0a3e43ef0b62f41ded697f832a8e837a48,371.0,False,N/A
hypothesis/h,b735bc0f16427ec96d72d051a6a7b20d62eaca2d,316.0,False,N/A
hypothesis/h,814a7a844095d57b866db98b6396349d85388bdf,339.0,False,N/A
hypothesis/h,78376071e1d7cf47362164123e6f34d3ae13bf2b,267.0,False,N/A
hypothesis/h,1c3aba4023abc1992b923ee4a97e382375816ea8,588.0,False,N/A
hypothesis/h,b8c1064b3b77cbfe1a29adb95772e9bf8a68ddca,345.0,False,N/A
hypothesis/h,bf7d1ebba5997f55762935ece59f5d98a5fc3c1d,1669.0,False,N/A
hypothesis/h,d8d1817d57a7726c1c5bcdea1876bc5393bc7ad5,1496.0,False,N/A
hypothesis/h,7763c612828d30d51e3f0aa8924e40202ca106d4,61729.0,False,N/A
hypothesis/h,23c4dce234d86b35622c52142fc2e7bf09a1ff8c,1893.0,False,N/A
hypothesis/h,4ca5dfacf8f3623722a3db61ed690dc66abcc2ab,1234.0,False,N/A
hypothesis/h,566ed4363bb5cb985af2f4b3529394043abdf44e,498087.0,False,N/A
hypothesis/h,3e42beb3c2fcd79968f696c5722d33af07e3bf34,15.0,False,N/A
hypothesis/h,471560265efc1706648961afffc30c451417d67a,1486.0,False,N/A
hypothesis/h,c1d3abb210cc2132bc376a7759cd093dc922c58d,1086.0,False,N/A
hypothesis/h,aa34f7b514e14b51a1abc5f67ccdc71da23a150e,14.0,False,N/A
hypothesis/h,eb139f3d33f9e7db5893ff802eb1b39b5a7d9187,1481.0,False,N/A
hypothesis/h,0606eee6a66371d69003864d875727fda0e82d50,1171.0,False,N/A
hypothesis/h,4eb476586681dd33fe639936a5bddbe83ff94818,63374.0,False,N/A
hypothesis/h,a54f644078e48ee0f20dfa2373265a54c7042a7c,1259.0,False,N/A
hypothesis/h,359e9b193c94a80ea6e8f9dd3514f65c0426a1df,50.0,False,N/A
hypothesis/h,3a2477aa477b1fe809c8bd6e91f9d2d455f2dc49,86.0,False,N/A
hypothesis/h,f04a58ce9b1e57196a46b5df07089501b8a482dc,21.0,False,N/A
hypothesis/h,fe09937e5afdaffbb7f22ff21ca808816fea171b,20.0,False,N/A
hypothesis/h,d6f2d864d80d59482b76f5c28ca7a3bb757e7a7c,51.0,False,N/A
hypothesis/h,a0922bf19bf0eba079b5bf6b63721213bea2aff5,3585.0,False,N/A
hypothesis/h,20355340e40ccaa44a1b892a5579a1d779c5ef63,1162.0,False,N/A
