repository,commit_sha,ci_time,is_feature_flag,ff_add_or_remove
Yoast/javascript,b814838b0035279bb41b2b4599999295840a87bc,7763.0,False,N/A
Yoast/javascript,bbb9e829edaf84106bdc4ccc9f8cd815d2dfe0b2,322.0,False,N/A
Yoast/javascript,57f32e3b60f7a830d04ed81c8d7e344b839ccfed,261.0,False,N/A
Yoast/javascript,94ccecb5145d8384fb350833c7ba327d7ddaa520,318.0,False,N/A
Yoast/javascript,84f49047718f8f4a57ed27a2e669514a4239169c,257.0,False,N/A
Yoast/javascript,47f84d6fa3ce18306ef18d9a6d5bcb717c9e9c34,262.0,False,N/A
Yoast/javascript,86e8ac05c1d8f6a49031611e7b867fb3816fe10b,306.0,False,N/A
Yoast/javascript,050d7d6ae71fe930fa5a0cda287a845699369fe9,406.0,False,N/A
Yoast/javascript,7c7d0fdf4543538e16ca6d346314ef049d6183f5,348.0,False,N/A
Yoast/javascript,23c01d6b43c519fd780562b841497709a38203c4,344.0,False,N/A
Yoast/javascript,fa6e9737979720c0b824a5b20b7944ca872b68ab,272.0,False,N/A
Yoast/javascript,f22c7b0fe34ef179c6fd1c4613f1b68e7c926bdf,336.0,False,N/A
Yoast/javascript,a011e5e26a73259c66bbec6a528231b3f40105e7,299.0,False,N/A
Yoast/javascript,16f7eeb691011a4c20dcce1436d0a0703f67130c,347.0,False,N/A
Yoast/javascript,925dbf9f4b251ca1dc3d922df893430fe2079f25,338.0,False,N/A
Yoast/javascript,2d3411f1c70c0269e9d206e081746977fd4d7fe9,345.0,False,N/A
Yoast/javascript,00db3a74b61a45bd4e6b587ab6094a25b15891c2,342.0,False,N/A
Yoast/javascript,fdefd7f4ce10c21cddf8c6dc8704f9da9161dfc2,293.0,False,N/A
Yoast/javascript,c7a5c5c2df3ce42780912f8ae0b6dfffaf51426b,278.0,False,N/A
Yoast/javascript,0bacecbc1adc61271b2d8ef09540c2cdec5cc50e,314.0,False,N/A
Yoast/javascript,fb4ba4ee26cc7f87b9a75d04e01f93519dc83016,276.0,False,N/A
Yoast/javascript,f90964c42ea103c1d7d0e9d87c7225ff273ab6b7,321.0,False,N/A
Yoast/javascript,836b80290ed4a27f558d13512c0d74a916e19d84,330.0,False,N/A
Yoast/javascript,4f33bf2a551022f80afb9c0e100964a0ad6b281d,324.0,False,N/A
Yoast/javascript,ab3a9baace28ffc11a3e51d6bafee8b1b07e5556,2859.0,False,N/A
Yoast/javascript,f1e7833ca22ae1a4a59c082386a2733bbf8673c1,266.0,False,N/A
Yoast/javascript,60848556eaf51fc4fe940b72742a2c12985ee236,297.0,False,N/A
Yoast/javascript,86c0c1d5a7109c1581b54241689c7302b1164115,313.0,False,N/A
Yoast/javascript,4435fa3da48622483685af08c9d390f5939bcdd8,353.0,False,N/A
