repository,commit_sha,ci_time,is_feature_flag,ff_add_or_remove
kubernetes/kops,f8fe433b4c2ed2f470f245630490be6816d1ac5a,1044.0,False,N/A
kubernetes/kops,f982934ae285e08e4c97b82a804721160839db65,1219.0,False,N/A
kubernetes/kops,64be69021124f004ab7fd648cd5253534bfaed66,1269.0,False,N/A
kubernetes/kops,96acfc4cebebf6e2cb380390dfcf57ef9f0e3e33,1046.0,False,N/A
kubernetes/kops,e68912e2e950410b82bd30a2f00e6488cab2a9c4,1357.0,False,N/A
kubernetes/kops,5f72a878e1334711827a511b212b1b1851b8e77a,1290.0,False,N/A
kubernetes/kops,8675336725aab358ee7da204f7657bd415d1a035,1006.0,False,N/A
kubernetes/kops,66eb76ada5b7ca87a6676e3e2d64bf102c50abde,1240.0,False,N/A
kubernetes/kops,0efc42822b4beab0b92adb09c5beb0d6999351db,1122.0,False,N/A
kubernetes/kops,cdd6fe31135119671feff3e107ee26eb28cfd2e8,1413.0,False,N/A
kubernetes/kops,de45957b704878f1de6145000f13e30550910e76,1203.0,False,N/A
kubernetes/kops,7c7350d77cf5ab70f1a7098edcfe54f28dc6196f,1106.0,False,N/A
kubernetes/kops,e73d4d61be7469aa02cd4f605094b75667de7531,1222.0,False,N/A
kubernetes/kops,534f6dce6101d73d6d5391c303f62dea4677f9a1,1029.0,False,N/A
kubernetes/kops,04362d49227c38e1f0d293250c6b01be82b52eb3,1878.0,False,N/A
kubernetes/kops,8ba0ecbf5ed1988a476410f29b27b024418698c9,1726.0,False,N/A
kubernetes/kops,6b075d6f6fd93d44acd2ab3627c28d5d9f21f7b1,1198.0,False,N/A
kubernetes/kops,5a52bfd67d424d6a9819fda7ef37dc1299ff9557,1260.0,False,N/A
kubernetes/kops,6d9c8e73606a4e7dd250b2c7049fd619eeb2a4d2,2000.0,False,N/A
kubernetes/kops,87240bd5a1e8ec6ac9ada609a5f043121f972b31,1358.0,False,N/A
kubernetes/kops,c8f32621b744569d74f461aa67e1bb685920b1fe,1122.0,False,N/A
kubernetes/kops,2c4808c5bd14a4a4b79efcee22754a5b75878976,1067.0,False,N/A
kubernetes/kops,f22ecb6db60e214f4f9b0d7fce54fc9f4409d12e,1486.0,False,N/A
kubernetes/kops,0c5cb27732e063137974ce94541b64d24f2db54b,1038.0,False,N/A
kubernetes/kops,51d5c9f9591d853a243bc5bf56bd68c923139c93,1222.0,False,N/A
kubernetes/kops,19156d014fb8c0416be7cdd8a4fe304276e0e54c,1173.0,False,N/A
kubernetes/kops,79b0396335195919bacb1e5c096301a0f691ab56,1061.0,False,N/A
kubernetes/kops,c406c57fcb1c441cb4c2f247b4eae2cce56cedd6,1290.0,False,N/A
kubernetes/kops,58b2fd40d9735d66acd2905349109f03b7bcca5e,5448.0,False,N/A
kubernetes/kops,0c6fddbbd7898e2a48b3cd772d0d469213592651,1438.0,False,N/A
kubernetes/kops,81ce39006fee237b2d88a7df67f83416a9381457,1253.0,False,N/A
kubernetes/kops,312d9b7ffd4524742f2a23e827668b1635ed995b,1317.0,False,N/A
kubernetes/kops,3e7386f06e7fb8c69a0cdc433ff40cd3878305fc,1231.0,False,N/A
kubernetes/kops,ec54e2b1b895ffa16c16168841b866d1592890d1,974.0,False,N/A
kubernetes/kops,6eed8ff09527841d233b43afdbfa3a95edaf232c,1063.0,False,N/A
kubernetes/kops,a105e744242d9718426e6ed08730c110aec81f8f,1417.0,False,N/A
kubernetes/kops,9c7e53c0cdbd1bd374eb05fbb35bca77073beedc,1277.0,False,N/A
kubernetes/kops,b0cfb1356fc9b2df07acbd7f9d3321b438c8f7be,2424.0,False,N/A
kubernetes/kops,25b7dc21fa3a15999089686864091c8712988428,1231.0,False,N/A
kubernetes/kops,c066b44934ffbd023e5df3799e144641b8a0003f,1326.0,False,N/A
kubernetes/kops,f568527c6290e22290d0eb57c6c111ecb0f61be2,1207.0,False,N/A
kubernetes/kops,53e99a4ac7ec9b6023e13dd3524132be2f8233af,1026.0,False,N/A
kubernetes/kops,228a573ba54be6c4f60ccd453c833f99f7094e46,1253.0,False,N/A
kubernetes/kops,63111f662a36c64306415073f8702ebf0ce57d89,1142.0,False,N/A
kubernetes/kops,20b0595189b54f7483a74493d6ab3382124f60c5,1128.0,False,N/A
kubernetes/kops,0aebcbc6d993856b396b0b218c892a0b414da258,1456.0,False,N/A
kubernetes/kops,a3e521da92c81d6420f843704cb59b73c0064162,1225.0,False,N/A
kubernetes/kops,0fed181ef9c964e4b28aa71a4a9660b983f5a67f,1044.0,False,N/A
kubernetes/kops,2474b07f65f1a1848be1058c63a5e84ac6419c73,1023.0,False,N/A
kubernetes/kops,6f45ad2c0fb0ffc1d77addf7b1d242e5924da87e,1106.0,False,N/A
kubernetes/kops,1253d15103a70a515eb65ace42d8f8ea46501882,1222.0,False,N/A
kubernetes/kops,85036d24e6e82b5a61ea7c355df62fe77f621d96,1465.0,False,N/A
kubernetes/kops,71246dbd9c6c751dbb6d71971de5c12c46691ef7,1214.0,False,N/A
kubernetes/kops,810151fc3183913e13a112ef722c27f28edf6cec,1248.0,False,N/A
kubernetes/kops,d632e39eae3dc4654adc7ef811799bcc9275014f,1217.0,False,N/A
kubernetes/kops,ad9c9fcad84bc20dbcccb78b16a2f4cacf971af9,1233.0,False,N/A
kubernetes/kops,b21e8954645331309495ddae400de2b76ad31a40,1029.0,False,N/A
kubernetes/kops,c05bf4fdefbba592bc63e75d0a6a065cc12f1e74,1020.0,False,N/A
kubernetes/kops,eca9f02d97e29ddb01cd07bc127a8c0fba03a3b9,994.0,False,N/A
kubernetes/kops,e4cd6b551b659367cff5160de9c56fb8a3c6e63f,1176.0,False,N/A
kubernetes/kops,d33551c20cc6931837063661a8fcc739eb5befa7,1216.0,False,N/A
