repository,commit_sha,ci_time,is_feature_flag,ff_add_or_remove
navikt/modiapersonoversikt,d4a6285f4892b42e8753328e252904148e5338d1,168.0,False,N/A
navikt/modiapersonoversikt,93e47e5bc10dacb65963b4577fbfbd198a4049b4,171.0,False,N/A
navikt/modiapersonoversikt,fc55ca65ec65645b0982ab0025930f4cb4c59f62,155.0,False,N/A
navikt/modiapersonoversikt,dde7fa122447075019ce10e6cdfcfa1f0feca5e3,169.0,False,N/A
navikt/modiapersonoversikt,7d24aad4a0b51b66583714d6b3ebc1410b0a57c6,185.0,False,N/A
navikt/modiapersonoversikt,07a2d94d030247c2ff3aee0a9d721b11516a8383,163.0,False,N/A
navikt/modiapersonoversikt,ec1e49fef2305e1cfb08e2c6cc0296d73986ef77,183.0,False,N/A
navikt/modiapersonoversikt,873bca276e509c8c29a82ee41161a1f2f28ee700,175.0,False,N/A
navikt/modiapersonoversikt,7fdee3cd4f6c5dd8819e202fcefef362138cd737,171.0,False,N/A
navikt/modiapersonoversikt,8cb926ca2e35a92e5d3f5b92278d1e3a71136f8a,175.0,False,N/A
navikt/modiapersonoversikt,58e403c5ddb8e33cb12ac65f34590aa0ac6db102,543.0,False,N/A
navikt/modiapersonoversikt,e2a7ff4197733a3396d703fc31f9110e463bd326,174.0,False,N/A
navikt/modiapersonoversikt,a29d20401f152a9d94d57e119e8088ab70bbfa1d,519.0,False,N/A
navikt/modiapersonoversikt,f9686de65281392e7c0fee2f70e6dfbec427465c,356.0,False,N/A
navikt/modiapersonoversikt,cdf43a811a39840d84eec54b6054eb37e2d23994,166.0,False,N/A
navikt/modiapersonoversikt,86282b4710b3b14e458403a2c633f7083970edc1,190.0,False,N/A
navikt/modiapersonoversikt,35dbc2198ecab5090184b7864780cf1385339100,181.0,False,N/A
navikt/modiapersonoversikt,098fc4529143e06af837b5177e09dec6f2e114ee,159.0,False,N/A
navikt/modiapersonoversikt,a402a1be2e6523b0d59fad94b2fe6e366e0c6833,151.0,False,N/A
navikt/modiapersonoversikt,596b163eaa3329f43f3e4715a072821ab44af056,168.0,False,N/A
navikt/modiapersonoversikt,55f44c3a8b5d794fdac4abb9ae96355bb3b8280f,154.0,False,N/A
navikt/modiapersonoversikt,fa68cf086c811e1e93260ceab0898dff07cb04b3,422.0,False,N/A
navikt/modiapersonoversikt,787a509a5bec2d7fd699a871ed421493e8a5c02b,469.0,False,N/A
navikt/modiapersonoversikt,db4b435f2e567f594e0b2ffe7ed6d84b1b8ee80d,338.0,False,N/A
navikt/modiapersonoversikt,f94a28d89726dbdc212a271d0da4d7b77af32c47,171.0,False,N/A
navikt/modiapersonoversikt,0643594fc2819a4430778bb2b7c6a9cb089111b4,149.0,False,N/A
navikt/modiapersonoversikt,13464eab8dde01846dd2d59361e01e73e95c08d3,469.0,False,N/A
navikt/modiapersonoversikt,afa4f8509ab5dfd0a68d5349ae3785b6adcafb85,340.0,False,N/A
navikt/modiapersonoversikt,dac7622e9e57b7049840014f20ebe6503a3d21b6,169.0,False,N/A
navikt/modiapersonoversikt,97547082a57bb4c8bda6563e54e89f91f9267cbe,458.0,False,N/A
navikt/modiapersonoversikt,0c1885fb485c2b57bbd01de4600785547bb17a31,283.0,False,N/A
navikt/modiapersonoversikt,b8cfafb6f8916eb7f64e0740f5e3d64c3b92256f,158.0,False,N/A
navikt/modiapersonoversikt,2cfba14008f3ba5631e5b126e3c7ac220cbef831,175.0,False,N/A
navikt/modiapersonoversikt,bd35211fe71f02b5167c54a57c4ac9787e026df4,482.0,False,N/A
navikt/modiapersonoversikt,c5e343355f8913a7116cb9c6ac0bc73c949c5d08,507.0,False,N/A
navikt/modiapersonoversikt,834dff9e89a8637c98c6f9c4ce1a9f6b5b34bf90,162.0,False,N/A
navikt/modiapersonoversikt,4dc0fc2035521e4fceeb3b79eb441ef70cefb82e,304.0,False,N/A
navikt/modiapersonoversikt,3b9a837861e742b4b2d0bd282000f5d7f29dc710,340.0,False,N/A
navikt/modiapersonoversikt,800f2eaf07f1a6df12aba0ec60f37ec37f45028d,145.0,False,N/A
navikt/modiapersonoversikt,207ecd0acfa93593807e4bbb30b399195c784617,443.0,False,N/A
navikt/modiapersonoversikt,33e276c4d8c49da3a991d6366bb678e5ef0ea968,371.0,False,N/A
navikt/modiapersonoversikt,29dcd471405b43d13047b217a7dd4d17007a61a9,144.0,False,N/A
navikt/modiapersonoversikt,8ad3d29ae46d31c7a0996ef6847a83c2854f5412,177.0,False,N/A
navikt/modiapersonoversikt,501ec19c3346f8558d61f13fd2cf7e0527813eab,615.0,False,N/A
