repository,commit_sha,ci_time,is_feature_flag,ff_add_or_remove
zalando/nakadi,5bd1a0e65c0a63c1c73b1dd88aaa58e37b7036ab,54.0,False,N/A
zalando/nakadi,877cb9cec1ae2ede1c83f86808908cddba4e54fd,60.0,False,N/A
zalando/nakadi,476f827782fd7e8ca54177983badafb83d068000,48.0,False,N/A
zalando/nakadi,42ceff5cd456355ce6d0b2e9eddc7ffb201a494a,56.0,False,N/A
zalando/nakadi,52a95a2c9b3f877470cc5b63468c103ecafd7809,56.0,False,N/A
zalando/nakadi,bb826eaa2eaceca090931a891d984b5877c067a5,57.0,False,N/A
zalando/nakadi,2fc6489ec2e0396071d4187c4c91a35f1b6edeeb,68.0,False,N/A
zalando/nakadi,10d98f0e8f397a40e7cbd3bedb72ef54f57198a9,65.0,False,N/A
zalando/nakadi,5122665f94210d5d2e952e3aea9ff556bc56cdbf,67.0,False,N/A
zalando/nakadi,6da43bb23d506ff0aea691b205bda754935454c7,66.0,False,N/A
zalando/nakadi,053f0157668b4153d9e1646a90ae0649e3c85feb,69.0,False,N/A
zalando/nakadi,1d62c1f8dd13df8f12f5d5975763ed7fdd075b6a,58.0,False,N/A
zalando/nakadi,2b260cceda8ea6ac2b3ff4e92bdf50f39aa28404,62.0,False,N/A
zalando/nakadi,923aba9930c0bd506066a923200bfed49ce1b6c7,70.0,False,N/A
zalando/nakadi,b97179803e454cd3ec80446bafa8edef26521e7d,58.0,False,N/A
zalando/nakadi,083593838d605e5aaefa56129549813904ca1c8a,84.0,False,N/A
zalando/nakadi,5f7a79d7cbba7b765deb9ab5ee3205797490036d,55.0,False,N/A
zalando/nakadi,b50e1b1abfdd8ed7677662dbcd2fb8a7bd20e14a,61.0,False,N/A
zalando/nakadi,3d9c0dca8163d22a874b6e0ff527e4985c19db42,62.0,False,N/A
zalando/nakadi,10ce5c49f2d3afea1bf9cd7d1769aad23b77f5e7,61.0,False,N/A
zalando/nakadi,b1adacec26b54a116b8862c7dddf3ca630887b1b,130.0,False,N/A
zalando/nakadi,fa0e25c7b54603b3161c1df23930ae8dbb257b09,242.0,False,N/A
zalando/nakadi,20edc2afc541f52298f8285a74141b81859441ab,127.0,False,N/A
zalando/nakadi,d6144b67894c8448b38972471e678f8dba446d9e,81.0,False,N/A
zalando/nakadi,c1cc626a6bfb25449453936771d2f55f46d8bcf2,77.0,False,N/A
zalando/nakadi,d59a9b26471ef124b220357150c96fd7e8c7dab1,61.0,False,N/A
zalando/nakadi,a18c09ea76fdf6bc28b1d9776671f2c2a5fbb738,64.0,False,N/A
zalando/nakadi,b3a736a2fc3086a33271ea3a9e2bec036e004ed6,54.0,False,N/A
zalando/nakadi,619c7056e5650fa3f8bafdf5816789c290dca3ce,63.0,False,N/A
zalando/nakadi,bdbe6b1bad5b28ae1fd494831d675a20fd6359d4,65.0,False,N/A
zalando/nakadi,83d4ca43210e89302a38482178bcb596f1386715,66.0,False,N/A
zalando/nakadi,d09eb3e880ad57ff973922a5f98a4ba6f93c555f,62.0,False,N/A
zalando/nakadi,44a11dc209dda261a5f244585a3345b4c1c4ad2c,64.0,False,N/A
zalando/nakadi,ef32b9d53f5ae2770e25a45e4841ac99f20d3692,61.0,False,N/A
zalando/nakadi,2e34835d5806e63b180649c63c839c392f9280a2,56.0,False,N/A
zalando/nakadi,f8816a55d99a28177c751d3744f3c00c579d5ee3,63.0,False,N/A
zalando/nakadi,856a3538940d51ed628ad3d8f8224df2be34f01b,77.0,False,N/A
zalando/nakadi,6483e47bc24b50530415bd8465c88731d4acc091,70.0,False,N/A
zalando/nakadi,2b6efc50e1b65d5526a9de13a551af8cd1bca36f,67.0,False,N/A
zalando/nakadi,e66eaf630a895c716093593b6a2a96d100d25140,67.0,False,N/A
zalando/nakadi,54a1c9b3acd3c49b0ac50a4735d704bb847c884a,66.0,False,N/A
zalando/nakadi,4c514e679f28ff1a6b7b2451b105e6beeb2c1e4a,198.0,False,N/A
zalando/nakadi,f04b6fe9060c49c348cba615bd2e0a1dc5f4cea5,60.0,False,N/A
zalando/nakadi,02c20bb935380e802b1f247ca69bd9fad4232c08,70.0,False,N/A
zalando/nakadi,732719a85630bbb838da2e919ca852bd0d4c33e1,67.0,False,N/A
zalando/nakadi,59ed211a0d2cff344ee62c99b0d1a668acee4e43,58.0,False,N/A
zalando/nakadi,2037bfa0262868ad4cc7e6309ce58b16f1768c7b,66.0,False,N/A
zalando/nakadi,af7d1fd86e03be48adc9dfed004b3f8966463ee4,66.0,False,N/A
zalando/nakadi,f238e43f7d4f2303120b3b1e45e25bf4cba3592c,55.0,False,N/A
zalando/nakadi,dc3339787073ce4890d550f8a4ab7b319575e95f,63.0,False,N/A
zalando/nakadi,96e2c4ab3d3fb2e964ef39adcdf23057a86faa4c,62.0,False,N/A
zalando/nakadi,158f538235130381d1807ac60b9fc473072ccb5e,62.0,False,N/A
zalando/nakadi,a145dc6dfbbec4e54e32d6dfd4c72e6e7ea7ce4e,65.0,False,N/A
zalando/nakadi,77464c284eb85d717a46d745712ca987779805aa,61.0,False,N/A
zalando/nakadi,0c0275db6283ee819ae8ef785cb7f72f4bdb8402,71.0,False,N/A
zalando/nakadi,9f52df9c63136af9255f18e7725c553c4ebf40a5,61.0,False,N/A
zalando/nakadi,ac4ab3367ea01c43348ee4d72e628e6e636451b6,63.0,False,N/A
zalando/nakadi,423158a0ff1064df543176aea01887702462c9ac,67.0,False,N/A
zalando/nakadi,ed180b1e8462acbe5aa341815c2edee283c5788c,247.0,False,N/A
zalando/nakadi,d097be8cdd1896b9006dfe4014dcf7268b5ae1ee,64.0,False,N/A
zalando/nakadi,4aa8774abaa18a8e1aadc4c2f37ae91500e47e5b,58.0,False,N/A
zalando/nakadi,86209fbdc26164273299a76c62d86872aea7b64e,79.0,False,N/A
zalando/nakadi,e9c94e495d0b93f4b037e7ef5698f7b89683577e,66.0,False,N/A
zalando/nakadi,b2d6a95c79e68dd12fca1bae3cd3ce403c1c3bc9,57.0,False,N/A
zalando/nakadi,d2fbb0222289390195e094d7b706de8e226a3f81,70.0,False,N/A
zalando/nakadi,a4e89b20ffd72d4d4ed9575d137fe80bd45ac8f6,94.0,False,N/A
zalando/nakadi,c16c0eed97ff17a7093c656701abec16720586ca,177.0,False,N/A
zalando/nakadi,2cfbd797de7b82bd23a474a1f32d4510a2ad7bc4,64.0,False,N/A
zalando/nakadi,bab565aa086b800bd2d1a2727bde8b577cd0fa39,311.0,False,N/A
zalando/nakadi,12fbb091ca33fbc3f832dcf6d449c1eaa3f252a8,63.0,False,N/A
zalando/nakadi,0b827bcee63c8f2b36a1fe62c6c1098807fc8b59,57.0,False,N/A
zalando/nakadi,2504df83a257d1260ea12493b2d1076e7db14c62,60.0,False,N/A
zalando/nakadi,bc7b1ed701e74927529f2ef414534dca3d5bb481,58.0,False,N/A
zalando/nakadi,68b0c29db2d0b9f40e16cb1c97c89fca13a23ba8,213.0,False,N/A
zalando/nakadi,f170b49b93f10e8cd002a9e129cc9e20f16a8588,72.0,False,N/A
zalando/nakadi,d12c2922d391dea66a78b7af57516f649a3010c7,321.0,False,N/A
zalando/nakadi,76fd74d526e968e90eff01a97ac037a13d6810b6,63.0,False,N/A
zalando/nakadi,fc62219930e8411abf455f4467712da0d36a34ff,63.0,False,N/A
zalando/nakadi,d95baf9189de61026546c59dc13d18aa7f15507a,76.0,False,N/A
zalando/nakadi,ed827c3354558beca3d2ed7fd994988529e1924a,74.0,False,N/A
zalando/nakadi,facc113748d8cdba578ab5763ff6056d0e0cac07,68.0,False,N/A
zalando/nakadi,0ab3a0f1d87b1fe121053726eeb6ef11ed0c15ba,64.0,False,N/A
zalando/nakadi,b0b60e87c24f7540b3b0d2fe24bb43baf32a64f1,88.0,False,N/A
zalando/nakadi,35b867eebed324cd3728d8951369d8e307229780,70.0,False,N/A
zalando/nakadi,e59041744e2106f726b6cda4e0ed54131f5bec7d,86.0,False,N/A
zalando/nakadi,316bf96e2916cd6b030d4dda6b574bc7bb5bafed,57.0,False,N/A
zalando/nakadi,bd2de28a08efbb9b9fffd21885aea32749bad992,61.0,False,N/A
zalando/nakadi,a7998f0762d8f21c079eb13f474da2118fd8c849,63.0,False,N/A
zalando/nakadi,e00bbd7bbb505ee91a4171a069c8588049602140,66.0,False,N/A
zalando/nakadi,4fa01770af1dfe6f9b1dc5528ba590233a17ac14,66.0,False,N/A
zalando/nakadi,3cfa92a6e5ca55f34330e26e8ffafd7c8b3b9c69,58.0,False,N/A
zalando/nakadi,9fce18eb096e074983f73c6aece8b48f61651488,295.0,False,N/A
zalando/nakadi,ce8945c0fbe364514ecd39429a52abd99ea03c2b,66.0,False,N/A
zalando/nakadi,190037e3157031a8b9684180e4b5d43395ab64b8,61.0,False,N/A
zalando/nakadi,7f761e9266f5b70b1c0ff0dd50b73f9cb5234214,77.0,False,N/A
zalando/nakadi,0d74aca0d81b9386c26c1560ee6d7db8f8fd9d09,54.0,False,N/A
zalando/nakadi,f7bb79ed16942e8152fe1ddd0a882b642e4e9ede,64.0,False,N/A
zalando/nakadi,e49d781b13c4e99899f9c2d29131d90bdcd5a535,81.0,False,N/A
zalando/nakadi,01b63d245c888c46593980bd7057e0d50bb2261d,60.0,False,N/A
zalando/nakadi,1ef07221dec077e8eca79751054984adda478e50,63.0,False,N/A
zalando/nakadi,e9f6f3b44f1edc90224d18fbd16a7a743de54aec,63.0,False,N/A
zalando/nakadi,d67ca830c0c8181b8a625dd9fa9cd6a18ba2d4ee,60.0,False,N/A
zalando/nakadi,2ad859460a92b17ef15f953144865364eb8d79af,74.0,False,N/A
zalando/nakadi,eb6bd8815574b2b05c3a52616d17b7f1ca7dc355,59.0,False,N/A
zalando/nakadi,75a95b2dd3e15791c348d1414ed53562b59e4784,58.0,False,N/A
zalando/nakadi,4e1610a884f8fadffcd5ca72a5cf5cee5c5dede0,71.0,False,N/A
zalando/nakadi,9ca26a161b66800302f2dbc156850d059c3d77a3,60.0,False,N/A
zalando/nakadi,0f3d4c2398809495605d36176f83f2850c459a39,60.0,False,N/A
zalando/nakadi,46b0d60176a0fd037beae7e8b9179be032b7910b,301.0,False,N/A
zalando/nakadi,38dc06dc5d8efa1cdd0b4bb6f3154589970872be,57.0,False,N/A
zalando/nakadi,706e76257da98da5e3a7e0ba15d3189a61401a85,57.0,False,N/A
zalando/nakadi,b669fde0ed21f9255abffae71d0eb9c5d6ae4ef6,54.0,False,N/A
zalando/nakadi,45b24884c3fece43df020236679f6d70915dc603,62.0,False,N/A
