repository,commit_sha,ci_time,is_feature_flag,ff_add_or_remove
zooniverse/panoptes,bd3b4af4c7dd8909dfe3dc27bfc95d4224ee6f3b,1080.0,False,N/A
zooniverse/panoptes,6eb9330ea2d85d05c5f5ec820732888f16e40fe1,1163.0,False,N/A
zooniverse/panoptes,2e1c8ecfad6f4351b445aaa4944002278fefbe9c,1456.0,False,N/A
zooniverse/panoptes,17dada97937ca244c477686f9861cca16461c9c9,1026.0,False,N/A
zooniverse/panoptes,8da282a72cb646c602d484ffe3cfc4fa05a16df4,1349.0,False,N/A
zooniverse/panoptes,d5094f34e5ed2b21fae98c590a8f97cb5fecaf78,999.0,False,N/A
zooniverse/panoptes,5daed741e7cd558f3f14594c83bfb8547861595c,966.0,False,N/A
zooniverse/panoptes,75a5a4890fb1b9b1afc20c54ef3bf4b14d737043,971.0,False,N/A
zooniverse/panoptes,ed0ab672ab1d0368dcb3dacbc47238382fb1c53a,978.0,False,N/A
zooniverse/panoptes,2ef73ce69846d05d436b1b9344087530c0cebb65,1129.0,False,N/A
zooniverse/panoptes,65f3fac50c126a52cd43eb2c09099c3e8e9be1a0,1064.0,False,N/A
zooniverse/panoptes,b33e9f980a8cd4bc8e6b71c53247d992d4481b8e,1182.0,False,N/A
zooniverse/panoptes,b9cd5e75b9c30902bed986c24845626e71415c82,946.0,False,N/A
zooniverse/panoptes,1ec3bc7b5c4f412a9a4c6d824714f7a35338fba5,1028.0,False,N/A
zooniverse/panoptes,753461dc362c230de6db393a6a43a5d67d04e596,1110.0,False,N/A
zooniverse/panoptes,692553e23d806fa2258aadd907c5bb41c5807547,938.0,False,N/A
zooniverse/panoptes,5e11f0a167ae7d3421d621a7498e41def0794f5e,919.0,False,N/A
zooniverse/panoptes,e052053b1b245d3f0cac3445b93564cddf8e93d3,1452.0,False,N/A
zooniverse/panoptes,2357a864d08516cc3b8ddf782d97c5ce9fb1fba2,1002.0,False,N/A
zooniverse/panoptes,bc15d8588c263998d1b248a0ea4ee7f7b20654f2,862.0,False,N/A
zooniverse/panoptes,7b19464635a5c3daccae399f66bff18c694cdb52,860.0,False,N/A
zooniverse/panoptes,ad77764dbd9b0b4832479529ecdca09cce2c0416,1005.0,False,N/A
zooniverse/panoptes,8de25c9053fc1455b6a44c5dc924d127f82d4a92,1135.0,False,N/A
zooniverse/panoptes,48dc20201794ea4bbcce0bc0b0d48f7d71aa8ef4,882.0,False,N/A
zooniverse/panoptes,6fa459438326f0a349f4843badee72308d46d71a,935.0,False,N/A
zooniverse/panoptes,852b0e8da1a7f64562f68a0101b5251ac6450a94,1046.0,False,N/A
zooniverse/panoptes,2cd9b5eb1e9ad6e10550b894696284243c91a970,853.0,False,N/A
zooniverse/panoptes,f1e33cdcd12efb1253df51d2106af88a189982c6,915.0,False,N/A
zooniverse/panoptes,d4915cbd9fffb574c4c832a0e9b706fdcf6b09b4,879.0,False,N/A
zooniverse/panoptes,5b0cbf938e1e33830ec4204778aa0c6c9f5030bc,1099.0,False,N/A
zooniverse/panoptes,c031097738f4bf2946e1ae3ae147cb3107d3e7a3,906.0,False,N/A
zooniverse/panoptes,e98eb1a80f247fbef465cd1e952b755eb6ef2071,990.0,False,N/A
zooniverse/panoptes,8cfcace49491a4017bfcd017cb95fa0a85f39bcd,720.0,False,N/A
zooniverse/panoptes,a6c5b33cb49d32356a657faca23c6112d13288b4,774.0,False,N/A
zooniverse/panoptes,7899b32e244f19a7e43a97bada0d95894125d9e8,1150.0,False,N/A
zooniverse/panoptes,3e25b1ed52d526043a2bbbd3c2224a712fc0b9b3,852.0,False,N/A
zooniverse/panoptes,6cbd7ad0804a7c257dcb00c8eec68e3a696cb8f8,925.0,False,N/A
zooniverse/panoptes,4c0459bb01d8d860d95b67b08432b2c281039d07,871.0,False,N/A
zooniverse/panoptes,cd562962a6309a4effd8d7265e4cfba8ec2c5dbd,826.0,False,N/A
zooniverse/panoptes,14387d023febad214b0b4b1a2f59803a9343d8bd,854.0,False,N/A
zooniverse/panoptes,2fea4d095ca46436d8faac466baa8f732e7bd531,1634.0,False,N/A
zooniverse/panoptes,132ba0867938f34c32333c4f76f7917cc92f998b,982.0,False,N/A
zooniverse/panoptes,e54e3675a462b4dc092f6abaa6c3c31623dd7754,14360.0,False,N/A
zooniverse/panoptes,581ad45e99bc88826dba32aa4978533c21a6d8c9,819.0,False,N/A
zooniverse/panoptes,b044251e1a28e3c65c04ff6c379297c09b34a2c4,863.0,False,N/A
zooniverse/panoptes,e038b76393c273cfe4107b1e3604f9ad432dfcac,797.0,False,N/A
zooniverse/panoptes,180ccaab199ca31845360191aee8991e05f58e80,811.0,False,N/A
zooniverse/panoptes,ae6371abe4eea2071ae7a2e7072d4dd7ff6e30b3,879.0,False,N/A
zooniverse/panoptes,67e017000d003a8d2485bd8d69bb41f5acf75b27,923.0,False,N/A
zooniverse/panoptes,ae9a185403f90536f406249aefc36b78e35f0b4e,908.0,False,N/A
zooniverse/panoptes,6b94888fe9848e6559d2416b632e24f9c9249579,903.0,False,N/A
zooniverse/panoptes,9d1d7d58fbd896faf26c08acc183f96584691e4d,897.0,False,N/A
zooniverse/panoptes,bc643b834304eef99df60958481ac5b00028bf1f,904.0,False,N/A
zooniverse/panoptes,c27cf5b4b3aa9fb8d30bd994a6de5511130b8b29,1056.0,False,N/A
zooniverse/panoptes,e8d3eb4798e0622e059ec08a5c9a371a48b51720,924.0,False,N/A
zooniverse/panoptes,d82514735d069358d09f19916f2a2eb237f90d2e,945.0,False,N/A
zooniverse/panoptes,f0e1ca51edadf0cfffb9d6759a1e1c31faa10cc8,1492.0,False,N/A
zooniverse/panoptes,0fa1bc3956620a6d63d684235e7ada245ec818be,1060.0,False,N/A
zooniverse/panoptes,0e142179c5ec9e43e6d48d7b0aefe63e89e49feb,1382.0,False,N/A
zooniverse/panoptes,95988e5fd3391deb353ddc346847305f2fafe83b,951.0,False,N/A
zooniverse/panoptes,dbeee1ff7be0b31398d8ecc14e1cf1f8cc324f9f,828.0,False,N/A
zooniverse/panoptes,055377d909e6cb9dd8ab56f4d5db54f229e45bdd,389.0,False,N/A
zooniverse/panoptes,9995171325fe1231279e407cce982c7bfc7af9f6,992.0,False,N/A
zooniverse/panoptes,040394c309db79d08a5ca9b87f1e61ceebf76e7c,1067.0,False,N/A
