repository,commit_sha,ci_time,is_feature_flag,ff_add_or_remove
facebook/react,2d8d133e1756ea50a48e615db0c22870e92f4af6,279.0,False,N/A
facebook/react,0ae5290b5434dd7a14be02a5c3f62bd80ad75d6d,266.0,False,N/A
facebook/react,7841d0695ae4bde9848cf8953baf34d312d0cced,332.0,False,N/A
facebook/react,5151466bab761cd6124d630a8a77d10b1cecbdc9,154.0,False,N/A
facebook/react,efbd69b27e530cb26f0c055265a624242a32305b,37.0,False,N/A
facebook/react,86715efa23c02dd156e61a4476f28045bb5f4654,155.0,False,N/A
facebook/react,39f00748922cf40e06cd08d0c81f8b28fc8503fa,40.0,False,N/A
facebook/react,e0d9b289998c66d2e4fb75582b9e107054e4e0a4,570.0,False,N/A
facebook/react,cc4d24ab0b1b70c6d30e1131e496c59ff9f85d5f,195.0,False,N/A
facebook/react,23c80959ad79898877e76a61dffbe8c02ec3853e,184.0,False,N/A
facebook/react,b610fec00cef1fb0a33ea353ed81fd138b961785,101.0,False,N/A
facebook/react,bc7d5ac99dcb36679c90b60731458063fb8c82f3,38.0,False,N/A
facebook/react,6bbe7c3446c6ab986be39a678a75f6e2c27a5b52,18.0,False,N/A
facebook/react,1a3f1afbd3cf815d4e55628cd7d84ef20171bab8,499.0,False,N/A
facebook/react,aecb3b6d114e8fafddf6982133737198e8ea7cb3,405.0,False,N/A
facebook/react,c96b78e0e7cd9e6ef7c0464748a50cf8510dde81,252.0,False,N/A
facebook/react,c1536795cae5101041ef50a59ae29119aa1c2bf4,550.0,False,N/A
facebook/react,3ba2b67f213d4ec4c5239c9d97744e21a4763b9e,63.0,False,N/A
facebook/react,1a106bdc2abc7af190b791d13b2ead0c2c556f7a,626.0,False,N/A
facebook/react,e601854f077e5df76c5ea6d90cdc9c6a5c0f245f,65.0,False,N/A
facebook/react,9343f872038746b6bd0455d8d1098f31a1674b0b,18.0,False,N/A
facebook/react,03c5314b44dbf280f3008ce7f587e5055e76c6e2,16.0,False,N/A
