non_ff_time,add_ff_time,rm_ff_time
1044.0,763.0,687.0
1219.0,571.0,854.0
1269.0,639.0,759.0
1046.0,447.0,728.0
1357.0,531.0,666.0
1290.0,4762.0,574.0
1006.0,2667.0,539.0
1240.0,3409.0,3237.0
1122.0,4901.0,4339.0
1413.0,2501.0,7456.0
1203.0,3572.0,697.0
1106.0,2578.0,4392.0
1222.0,415.0,3400.0
1029.0,1989.0,2615.0
1878.0,1267.0,322.0
1726.0,4068.0,3500.0
1198.0,2217.0,1641.0
1260.0,5941.0,2748.0
2000.0,5882.0,4077.0
1358.0,329.0,4945.0
1122.0,3442.0,2453.0
1067.0,9601.0,13011.0
1486.0,4108.0,757.0
1038.0,3087.0,2081.0
1222.0,7024.0,323.0
1173.0,1692.0,2055.0
1061.0,8298.0,1963.0
1290.0,3250.0,1950.0
5448.0,326.0,1767.0
1438.0,1391.0,1814.0
1253.0,2805.0,5834.0
1317.0,2617.0,6212.0
1231.0,9113.0,2534.0
974.0,331.0,2440.0
1063.0,67215.0,495.0
1417.0,3246.0,1946.0
1277.0,1158.0,2081.0
2424.0,1761.0,2272.0
1231.0,1791.0,2197.0
1326.0,1820.0,2732.0
1207.0,1843.0,463.0
1026.0,338.0,2593.0
1253.0,312.0,1070.0
1142.0,2051.0,3886.0
1128.0,1295.0,3736.0
1456.0,2432.0,501.0
1225.0,1421.0,456.0
1044.0,1997.0,459.0
1023.0,1914.0,604.0
1106.0,2409.0,536.0
1222.0,357.0,539.0
1465.0,1259.0,541.0
1214.0,1982.0,530.0
1248.0,2421.0,487.0
1217.0,6757.0,529.0
1233.0,1998.0,422.0
1029.0,3326.0,446.0
1020.0,3580.0,480.0
994.0,2042.0,2820.0
1176.0,317.0,2053.0
1216.0,6575.0,1641.0
1104.0,1046.0,7908.0
1292.0,1760.0,1450.0
1238.0,1276.0,1669.0
1115.0,7297.0,3030.0
1078.0,1231.0,2933.0
2106.0,1891.0,1628.0
2573.0,2630.0,1611.0
1025.0,1850.0,2830.0
1077.0,2018.0,1687.0
1115.0,1988.0,2795.0
1013.0,7540.0,2764.0
1231.0,1869.0,1512.0
1098.0,1803.0,1616.0
1175.0,1948.0,1558.0
1285.0,1672.0,2491.0
1114.0,1884.0,974.0
1001.0,2058.0,1066.0
1170.0,2006.0,353.0
1515.0,6044.0,335.0
1132.0,1905.0,726.0
1138.0,532.0,643.0
1316.0,548.0,683.0
1263.0,1909.0,724.0
3622.0,2130.0,647.0
1258.0,1880.0,854.0
1002.0,1794.0,869.0
987.0,2063.0,816.0
1074.0,1996.0,607.0
1308.0,2076.0,5602.0
1012.0,2054.0,3673.0
1040.0,1890.0,1494.0
1294.0,2097.0,372.0
1068.0,2445.0,466.0
1358.0,2102.0,2795.0
1127.0,2164.0,10738.0
1110.0,2229.0,10809.0
1070.0,2180.0,457.0
1176.0,4914.0,679.0
1023.0,2809.0,27.0
1028.0,2290.0,532.0
979.0,1816.0,524.0
2681.0,398.0,216.0
1265.0,381.0,72.0
1096.0,401.0,80.0
1069.0,382.0,81.0
1260.0,2246.0,78.0
1410.0,896.0,3174.0
1009.0,5795.0,729.0
1283.0,2505.0,773.0
1042.0,2414.0,748.0
1200.0,398.0,710.0
1243.0,898.0,725.0
998.0,1797.0,327.0
1118.0,10855.0,222.0
1033.0,4664.0,190.0
1130.0,4570.0,1723.0
1260.0,4625.0,336.0
2209.0,3359.0,2925.0
1116.0,3580.0,8856.0
1049.0,6409.0,1323.0
1106.0,3540.0,5193.0
1041.0,1053.0,5764.0
1041.0,906.0,3760.0
1151.0,3464.0,912.0
1099.0,1017.0,5462.0
1419.0,3319.0,8023.0
1899.0,3762.0,7231.0
1120.0,3702.0,6623.0
1105.0,465.0,2983.0
1226.0,380.0,3272.0
1271.0,456.0,911.0
1173.0,512.0,1260.0
1045.0,431.0,1664.0
1023.0,502.0,919.0
21082.0,485.0,461.0
1150.0,427.0,1787.0
1294.0,553.0,838.0
1115.0,493.0,970.0
962.0,518.0,1203.0
1188.0,530.0,913.0
1121.0,527.0,784.0
1014.0,531.0,906.0
1056.0,482.0,1012.0
1326.0,590.0,856.0
1059.0,550.0,861.0
1073.0,536.0,990.0
1038.0,464.0,638.0
1104.0,536.0,724.0
2488.0,476.0,617.0
1289.0,471.0,695.0
1146.0,409.0,696.0
1436.0,506.0,681.0
1051.0,577.0,542.0
1290.0,463.0,688.0
1447.0,457.0,605.0
1159.0,428.0,687.0
1092.0,530.0,727.0
1172.0,473.0,609.0
1284.0,522.0,766.0
1278.0,457.0,805.0
1096.0,429.0,724.0
1199.0,459.0,746.0
1243.0,500.0,602.0
1184.0,460.0,605.0
1037.0,504.0,593.0
1278.0,509.0,608.0
1150.0,526.0,765.0
1114.0,439.0,629.0
2255.0,440.0,695.0
1189.0,475.0,906.0
1241.0,475.0,878.0
1073.0,460.0,864.0
964.0,453.0,926.0
1327.0,388.0,695.0
1236.0,411.0,750.0
1011.0,488.0,838.0
1139.0,501.0,828.0
1223.0,493.0,664.0
1026.0,9665.0,678.0
1076.0,2581.0,1357.0
1288.0,2631.0,1497.0
1133.0,1921.0,825.0
2142.0,3249.0,
2255.0,2996.0,
1044.0,1724.0,
26514.0,1554.0,
1379.0,2781.0,
979.0,1720.0,
1077.0,1720.0,
1068.0,2963.0,
1174.0,1700.0,
964.0,1505.0,
1051.0,2647.0,
3613.0,2720.0,
1060.0,2633.0,
1189.0,1588.0,
1812.0,1801.0,
1282.0,3187.0,
1088.0,4000.0,
1185.0,1695.0,
1146.0,2840.0,
963.0,2803.0,
1234.0,1802.0,
999.0,2910.0,
1230.0,2630.0,
1126.0,1731.0,
1058.0,2942.0,
1123.0,2706.0,
1061.0,2837.0,
1091.0,2705.0,
1045.0,3348.0,
1126.0,2791.0,
1018.0,3144.0,
1195.0,2861.0,
1082.0,2616.0,
974.0,1924.0,
1281.0,2883.0,
1045.0,2709.0,
1165.0,1682.0,
1271.0,3569.0,
1071.0,2765.0,
1315.0,990.0,
1125.0,322.0,
1077.0,3195.0,
1111.0,284.0,
1196.0,773.0,
975.0,727.0,
1222.0,606.0,
1031.0,880.0,
1053.0,937.0,
1835.0,933.0,
1049.0,340.0,
1180.0,856.0,
1242.0,650.0,
1021.0,1099.0,
1156.0,635.0,
1010.0,754.0,
1136.0,806.0,
1085.0,739.0,
1341.0,670.0,
990.0,1879.0,
1043.0,768.0,
970.0,909.0,
1313.0,699.0,
974.0,1295.0,
1167.0,1499.0,
1019.0,5256.0,
1058.0,3130.0,
1291.0,3801.0,
1381.0,3283.0,
1025.0,390.0,
1027.0,3163.0,
1232.0,1850.0,
1014.0,6337.0,
1089.0,1327.0,
1431.0,1384.0,
1091.0,1142.0,
1078.0,1182.0,
1197.0,464.0,
1009.0,1698.0,
1067.0,562.0,
8458.0,738.0,
996.0,430.0,
965.0,886.0,
1107.0,28.0,
1037.0,583.0,
1219.0,499.0,
1105.0,462.0,
1206.0,492.0,
1044.0,467.0,
1006.0,552.0,
1268.0,612.0,
1278.0,495.0,
1043.0,531.0,
1155.0,233.0,
994.0,29.0,
1038.0,257.0,
1278.0,343.0,
1226.0,367.0,
1062.0,327.0,
1035.0,29.0,
987.0,4779.0,
1181.0,450.0,
1022.0,5186.0,
1118.0,28.0,
1052.0,16.0,
1100.0,59.0,
1466.0,48.0,
1144.0,474.0,
3621.0,37.0,
1035.0,447.0,
1155.0,31.0,
9523.0,130.0,
1389.0,518.0,
1176.0,426.0,
1025.0,28.0,
